,en,es,description
,WHAT IS IT,¿QUÉ ES?,
,HOW IT WORKS,COMO FUNCIONA,
,HOW TO USE IT,COMO USARLO,
,THINGS TO NOTICE,COSAS PARA NOTAR,
,THINGS TO TRY,COSAS PARA INTENTAR,
,EXTENDING THE MODEL,EXTENDIENDO EL MODELO,
,NETLOGO FEATURES,CARACTERÍSTICAS DE NETLOGO,
,RELATED MODELS,MODELOS RELACIONADOS,
,CREDITS AND REFERENCES,CRÉDITOS Y REFERENCIAS,
,HOW TO CITE,COMO CITAR,
,COPYRIGHT AND LICENSE,DERECHOS DE AUTOR Y LICENCIA,
,Goals,Metas,
,cars,carros,
,the plot,la gráfica,
,tick,tic,
,click on,haz clic,
,traffic jams,atascos,
,road,calle,
